-632    55314.104056    0.000008 1
0    55353.996480    0.000008 1
17    55355.069543    0.000008 1
2619    55519.310181    0.000008 1
3078    55548.282678    0.000008 1
5578    55706.084989    0.000008 1
37219    57703.294204    0.000008 1
